Year,Country,EIU
2020,Canada,9.24
2019,Canada,9.22
2018,Canada,9.15
2017,Canada,9.15
2016,Canada,9.15
2015,Canada,9.08
2014,Canada,9.08
2013,Canada,9.08
2012,Canada,9.08
2011,Canada,9.08
2010,Canada,9.08
2008,Canada,9.07
2006,Canada,9.07
2020,France,7.99
2019,France,8.12
2018,France,7.8
2017,France,7.8
2016,France,7.92
2015,France,7.92
2014,France,8.04
2013,France,7.92
2012,France,7.88
2011,France,7.77
2010,France,7.77
2008,France,8.07
2006,France,8.07
2020,Germany,8.67
2019,Germany,8.68
2018,Germany,8.68
2017,Germany,8.61
2016,Germany,8.63
2015,Germany,8.64
2014,Germany,8.64
2013,Germany,8.31
2012,Germany,8.34
2011,Germany,8.34
2010,Germany,8.38
2008,Germany,8.82
2006,Germany,8.82
2020,Italy,7.74
2019,Italy,7.52
2018,Italy,7.71
2017,Italy,7.98
2016,Italy,7.98
2015,Italy,7.98
2014,Italy,7.85
2013,Italy,7.85
2012,Italy,7.74
2011,Italy,7.74
2010,Italy,7.83
2008,Italy,7.98
2006,Italy,7.73
2020,Spain,8.12
2019,Spain,8.18
2018,Spain,8.08
2017,Spain,8.08
2016,Spain,8.3
2015,Spain,8.3
2014,Spain,8.05
2013,Spain,8.02
2012,Spain,8.02
2011,Spain,8.02
2010,Spain,8.16
2008,Spain,8.45
2006,Spain,8.34
2020,Turkey,4.48
2019,Turkey,4.09
2018,Turkey,4.37
2017,Turkey,4.88
2016,Turkey,5.04
2015,Turkey,5.12
2014,Turkey,5.12
2013,Turkey,5.63
2012,Turkey,5.76
2011,Turkey,5.73
2010,Turkey,5.73
2008,Turkey,5.69
2006,Turkey,5.7
2020,Poland,6.85
2019,Poland,6.62
2018,Poland,6.67
2017,Poland,6.67
2016,Poland,6.83
2015,Poland,7.09
2014,Poland,7.47
2013,Poland,7.12
2012,Poland,7.12
2011,Poland,7.12
2010,Poland,7.05
2008,Poland,7.3
2006,Poland,7.3
2020,Ukraine,5.81
2019,Ukraine,5.9
2018,Ukraine,5.69
2017,Ukraine,5.69
2016,Ukraine,5.7
2015,Ukraine,5.7
2014,Ukraine,5.42
2013,Ukraine,5.84
2012,Ukraine,5.91
2011,Ukraine,5.94
2010,Ukraine,6.3
2008,Ukraine,6.94
2006,Ukraine,6.94
2020,Uzbekistan,2.12
2019,Uzbekistan,2.01
2018,Uzbekistan,2.01
2017,Uzbekistan,1.95
2016,Uzbekistan,1.95
2015,Uzbekistan,1.95
2014,Uzbekistan,2.45
2013,Uzbekistan,1.72
2012,Uzbekistan,1.72
2011,Uzbekistan,1.74
2010,Uzbekistan,1.74
2008,Uzbekistan,1.74
2006,Uzbekistan,1.85
2020,Argentina,6.95
2019,Argentina,7.02
2018,Argentina,7.02
2017,Argentina,6.96
2016,Argentina,6.96
2015,Argentina,7.02
2014,Argentina,6.84
2013,Argentina,6.84
2012,Argentina,6.84
2011,Argentina,6.84
2010,Argentina,6.84
2008,Argentina,6.63
2006,Argentina,6.63
2020,Brazil,6.92
2019,Brazil,6.86
2018,Brazil,6.97
2017,Brazil,6.86
2016,Brazil,6.9
2015,Brazil,6.96
2014,Brazil,7.38
2013,Brazil,7.12
2012,Brazil,7.12
2011,Brazil,7.12
2010,Brazil,7.12
2008,Brazil,7.38
2006,Brazil,7.38
2020,Colombia,7.04
2019,Colombia,7.13
2018,Colombia,6.96
2017,Colombia,6.67
2016,Colombia,6.67
2015,Colombia,6.62
2014,Colombia,6.55
2013,Colombia,6.55
2012,Colombia,6.63
2011,Colombia,6.63
2010,Colombia,6.55
2008,Colombia,6.54
2006,Colombia,6.4
2020,Mexico,6.07
2019,Mexico,6.09
2018,Mexico,6.19
2017,Mexico,6.41
2016,Mexico,6.47
2015,Mexico,6.55
2014,Mexico,6.68
2013,Mexico,6.91
2012,Mexico,6.9
2011,Mexico,6.93
2010,Mexico,6.93
2008,Mexico,6.78
2006,Mexico,6.67
2020,Peru,6.53
2019,Peru,6.6
2018,Peru,6.6
2017,Peru,6.49
2016,Peru,6.65
2015,Peru,6.58
2014,Peru,6.54
2013,Peru,6.54
2012,Peru,6.47
2011,Peru,6.59
2010,Peru,6.4
2008,Peru,6.31
2006,Peru,6.11
2020,Afghanistan,2.85
2019,Afghanistan,2.85
2018,Afghanistan,2.97
2017,Afghanistan,2.55
2016,Afghanistan,2.55
2015,Afghanistan,2.77
2014,Afghanistan,2.77
2013,Afghanistan,2.48
2012,Afghanistan,2.48
2011,Afghanistan,2.48
2010,Afghanistan,2.48
2008,Afghanistan,3.02
2006,Afghanistan,3.06
2020,Bangladesh,5.99
2019,Bangladesh,5.88
2018,Bangladesh,5.57
2017,Bangladesh,5.43
2016,Bangladesh,5.73
2015,Bangladesh,5.73
2014,Bangladesh,5.78
2013,Bangladesh,5.86
2012,Bangladesh,5.86
2011,Bangladesh,5.86
2010,Bangladesh,5.87
2008,Bangladesh,5.52
2006,Bangladesh,6.11
2020,China,2.27
2019,China,2.26
2018,China,3.32
2017,China,3.1
2016,China,3.14
2015,China,3.14
2014,China,3
2013,China,3
2012,China,3
2011,China,3.14
2010,China,3.14
2008,China,3.04
2006,China,2.97
2020,India,6.61
2019,India,6.9
2018,India,7.23
2017,India,7.23
2016,India,7.81
2015,India,7.74
2014,India,7.92
2013,India,7.69
2012,India,7.52
2011,India,7.3
2010,India,7.28
2008,India,7.8
2006,India,7.68
2020,Indonesia,6.3
2019,Indonesia,6.48
2018,Indonesia,6.39
2017,Indonesia,6.39
2016,Indonesia,6.97
2015,Indonesia,7.03
2014,Indonesia,6.95
2013,Indonesia,6.82
2012,Indonesia,6.76
2011,Indonesia,6.53
2010,Indonesia,6.53
2008,Indonesia,6.34
2006,Indonesia,6.41
2020,Japan,8.13
2019,Japan,7.99
2018,Japan,7.99
2017,Japan,7.88
2016,Japan,7.99
2015,Japan,7.96
2014,Japan,8.08
2013,Japan,8.08
2012,Japan,8.08
2011,Japan,8.08
2010,Japan,8.08
2008,Japan,8.25
2006,Japan,8.15
2020,Malaysia,7.19
2019,Malaysia,7.16
2018,Malaysia,6.88
2017,Malaysia,6.54
2016,Malaysia,6.54
2015,Malaysia,6.43
2014,Malaysia,6.49
2013,Malaysia,6.49
2012,Malaysia,6.41
2011,Malaysia,6.19
2010,Malaysia,6.19
2008,Malaysia,6.36
2006,Malaysia,5.98
2020,Myanmar,3.04
2019,Myanmar,3.55
2018,Myanmar,3.83
2017,Myanmar,3.83
2016,Myanmar,4.2
2015,Myanmar,4.14
2014,Myanmar,3.05
2013,Myanmar,2.76
2012,Myanmar,2.35
2011,Myanmar,1.77
2010,Myanmar,1.77
2008,Myanmar,1.77
2006,Myanmar,1.77
2020,Nepal,5.22
2019,Nepal,5.28
2018,Nepal,5.18
2017,Nepal,5.18
2016,Nepal,4.86
2015,Nepal,4.77
2014,Nepal,4.77
2013,Nepal,4.77
2012,Nepal,4.16
2011,Nepal,4.24
2010,Nepal,4.24
2008,Nepal,4.05
2006,Nepal,3.42
2020,Pakistan,4.31
2019,Pakistan,4.25
2018,Pakistan,4.17
2017,Pakistan,4.26
2016,Pakistan,4.33
2015,Pakistan,4.4
2014,Pakistan,4.64
2013,Pakistan,4.64
2012,Pakistan,4.57
2011,Pakistan,4.55
2010,Pakistan,4.55
2008,Pakistan,4.46
2006,Pakistan,3.92
2020,Philippines,6.56
2019,Philippines,6.64
2018,Philippines,6.71
2017,Philippines,6.71
2016,Philippines,6.94
2015,Philippines,6.84
2014,Philippines,6.77
2013,Philippines,6.41
2012,Philippines,6.3
2011,Philippines,6.12
2010,Philippines,6.12
2008,Philippines,6.12
2006,Philippines,6.48
2020,Thailand,6.04
2019,Thailand,6.32
2018,Thailand,4.63
2017,Thailand,4.63
2016,Thailand,4.92
2015,Thailand,5.09
2014,Thailand,5.39
2013,Thailand,6.25
2012,Thailand,6.55
2011,Thailand,6.55
2010,Thailand,6.55
2008,Thailand,6.81
2006,Thailand,5.67
2020,Algeria,3.77
2019,Algeria,4.01
2018,Algeria,3.5
2017,Algeria,3.56
2016,Algeria,3.56
2015,Algeria,3.95
2014,Algeria,3.83
2013,Algeria,3.83
2012,Algeria,3.83
2011,Algeria,3.44
2010,Algeria,3.44
2008,Algeria,3.32
2006,Algeria,3.17
2020,Egypt,2.93
2019,Egypt,3.06
2018,Egypt,3.36
2017,Egypt,3.36
2016,Egypt,3.31
2015,Egypt,3.18
2014,Egypt,3.16
2013,Egypt,3.27
2012,Egypt,4.56
2011,Egypt,3.95
2010,Egypt,3.07
2008,Egypt,3.89
2006,Egypt,3.9
2020,Iraq,3.62
2019,Iraq,3.74
2018,Iraq,4.06
2017,Iraq,4.09
2016,Iraq,4.08
2015,Iraq,4.08
2014,Iraq,4.23
2013,Iraq,4.1
2012,Iraq,4.1
2011,Iraq,4.03
2010,Iraq,4
2008,Iraq,4
2006,Iraq,4.01
2020,Morocco,5.04
2019,Morocco,5.1
2018,Morocco,4.99
2017,Morocco,4.87
2016,Morocco,4.77
2015,Morocco,4.66
2014,Morocco,4
2013,Morocco,4.07
2012,Morocco,4.07
2011,Morocco,3.83
2010,Morocco,3.79
2008,Morocco,3.88
2006,Morocco,3.9
2020,Saudi Arabia,2.08
2019,Saudi Arabia,1.93
2018,Saudi Arabia,1.93
2017,Saudi Arabia,1.93
2016,Saudi Arabia,1.93
2015,Saudi Arabia,1.93
2014,Saudi Arabia,1.82
2013,Saudi Arabia,1.82
2012,Saudi Arabia,1.71
2011,Saudi Arabia,1.77
2010,Saudi Arabia,1.84
2008,Saudi Arabia,1.9
2006,Saudi Arabia,1.92
2020,Sudan,2.54
2019,Sudan,2.7
2018,Sudan,2.15
2017,Sudan,2.15
2016,Sudan,2.37
2015,Sudan,2.37
2014,Sudan,2.54
2013,Sudan,2.54
2012,Sudan,2.38
2011,Sudan,2.38
2010,Sudan,2.42
2008,Sudan,2.81
2006,Sudan,2.9
2020,Yemen,1.95
2019,Yemen,1.95
2018,Yemen,1.95
2017,Yemen,2.07
2016,Yemen,2.07
2015,Yemen,2.24
2014,Yemen,2.79
2013,Yemen,2.79
2012,Yemen,3.12
2011,Yemen,2.57
2010,Yemen,2.64
2008,Yemen,2.95
2006,Yemen,2.98
2020,Angola,3.66
2019,Angola,3.72
2018,Angola,3.62
2017,Angola,3.62
2016,Angola,3.4
2015,Angola,3.35
2014,Angola,3.35
2013,Angola,3.35
2012,Angola,3.35
2011,Angola,3.32
2010,Angola,3.32
2008,Angola,3.35
2006,Angola,2.41
2020,Ethiopia,3.38
2019,Ethiopia,3.44
2018,Ethiopia,3.35
2017,Ethiopia,3.42
2016,Ethiopia,3.6
2015,Ethiopia,3.83
2014,Ethiopia,3.72
2013,Ethiopia,3.83
2012,Ethiopia,3.72
2011,Ethiopia,3.79
2010,Ethiopia,3.68
2008,Ethiopia,4.52
2006,Ethiopia,4.72
2020,Ghana,6.5
2019,Ghana,6.63
2018,Ghana,6.63
2017,Ghana,6.69
2016,Ghana,6.75
2015,Ghana,6.86
2014,Ghana,6.33
2013,Ghana,6.33
2012,Ghana,6.02
2011,Ghana,6.02
2010,Ghana,6.02
2008,Ghana,5.35
2006,Ghana,5.35
2020,Kenya,5.05
2019,Kenya,5.18
2018,Kenya,5.11
2017,Kenya,5.11
2016,Kenya,5.33
2015,Kenya,5.33
2014,Kenya,5.13
2013,Kenya,5.13
2012,Kenya,4.71
2011,Kenya,4.71
2010,Kenya,4.71
2008,Kenya,4.79
2006,Kenya,5.08
2020,Madagascar,5.7
2019,Madagascar,5.64
2018,Madagascar,5.22
2017,Madagascar,5.11
2016,Madagascar,5.07
2015,Madagascar,4.85
2014,Madagascar,4.42
2013,Madagascar,4.32
2012,Madagascar,3.93
2011,Madagascar,3.93
2010,Madagascar,3.94
2008,Madagascar,5.57
2006,Madagascar,5.82
2020,Mozambique,3.51
2019,Mozambique,3.65
2018,Mozambique,3.85
2017,Mozambique,4.02
2016,Mozambique,4.02
2015,Mozambique,4.6
2014,Mozambique,4.66
2013,Mozambique,4.77
2012,Mozambique,4.88
2011,Mozambique,4.9
2010,Mozambique,4.9
2008,Mozambique,5.49
2006,Mozambique,5.28
2020,Nigeria,4.1
2019,Nigeria,4.12
2018,Nigeria,4.44
2017,Nigeria,4.44
2016,Nigeria,4.5
2015,Nigeria,4.62
2014,Nigeria,3.76
2013,Nigeria,3.77
2012,Nigeria,3.77
2011,Nigeria,3.83
2010,Nigeria,3.47
2008,Nigeria,3.53
2006,Nigeria,3.52
2020,South Africa,7.05
2019,South Africa,7.24
2018,South Africa,7.24
2017,South Africa,7.24
2016,South Africa,7.41
2015,South Africa,7.56
2014,South Africa,7.82
2013,South Africa,7.9
2012,South Africa,7.79
2011,South Africa,7.79
2010,South Africa,7.79
2008,South Africa,7.91
2006,South Africa,7.91
2020,Uganda,4.94
2019,Uganda,5.02
2018,Uganda,5.2
2017,Uganda,5.09
2016,Uganda,5.26
2015,Uganda,5.22
2014,Uganda,5.22
2013,Uganda,5.22
2012,Uganda,5.16
2011,Uganda,5.13
2010,Uganda,5.05
2008,Uganda,5.03
2006,Uganda,5.14
